Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Career
2,0,3,3,0,3,0,0,1,0,1,0,0,0,1,1,0,0,Software Engineer
0,0,3,1,0,1,0,3,1,0,1,0,0,0,1,1,0,0,Software Engineer
2,0,0,3,4,2,3,0,3,3,1,0,3,0,1,1,0,0,Software Engineer
1,0,0,0,0,2,0,0,3,0,1,0,0,0,4,1,0,0,Software Engineer
0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,4,0,0,Software Engineer
0,0,0,1,0,1,0,0,1,0,1,0,1,4,1,2,0,3,Software Engineer
0,0,0,1,0,1,1,0,1,0,1,0,0,2,3,1,0,0,Software Engineer
0,0,0,1,0,2,0,0,1,1,1,0,0,4,1,1,0,0,Software Engineer
1,0,0,1,0,1,0,0,1,2,1,2,1,0,1,2,0,2,Software Engineer
0,0,0,1,0,1,0,3,1,0,4,0,0,0,1,1,0,0,Software Engineer
0,0,0,1,0,1,0,4,4,0,1,3,0,0,1,4,0,0,Software Engineer
0,0,0,3,1,1,3,0,1,0,1,0,0,0,4,3,0,0,Software Engineer
0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,Software Engineer
0,0,3,1,0,1,0,0,1,0,1,0,0,0,2,3,0,0,Software Engineer
0,0,0,1,0,1,0,0,1,0,1,0,0,3,1,1,0,0,Software Engineer
0,0,0,1,0,1,0,3,1,0,1,0,0,0,1,1,0,0,Software Engineer
0,0,0,0,0,1,0,0,0,0,1,0,1,0,4,1,0,0,Software Engineer
0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,1,Software Engineer
0,0,0,1,3,4,0,0,1,1,4,2,4,0,1,1,0,0,Software Engineer
0,0,0,0,0,1,0,0,1,0,1,2,0,3,1,3,1,4,Software Engineer
0,0,0,1,4,1,0,0,1,0,4,0,3,0,1,1,0,3,Software Engineer
2,0,0,1,0,1,1,0,2,0,1,0,0,2,1,0,1,0,Software Engineer
0,0,0,0,0,1,3,0,1,0,1,3,0,0,1,1,0,0,Software Engineer
0,0,0,1,0,4,0,0,1,0,1,0,0,0,1,0,3,0,Software Engineer
0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,2,0,Software Engineer
0,0,1,1,0,1,0,0,1,0,4,2,0,0,1,1,0,1,Software Engineer
0,4,2,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,Software Engineer
0,2,0,1,0,4,0,0,1,0,1,0,0,0,1,1,2,0,Software Engineer
0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,1,0,0,Software Engineer
0,0,0,1,3,2,0,0,1,0,1,0,0,0,1,1,0,0,Software Engineer
2,3,2,2,3,3,2,1,2,2,3,2,4,3,3,1,3,2,Psychologist
4,3,2,2,3,3,0,4,0,2,3,3,3,3,3,2,3,3,Psychologist
2,3,2,2,3,3,2,3,2,2,3,3,3,0,3,2,3,2,Psychologist
2,3,2,4,3,4,2,4,4,0,3,3,3,3,4,2,0,2,Psychologist
2,3,2,2,3,3,2,4,2,1,3,3,3,1,3,2,3,2,Psychologist
2,3,2,1,2,3,2,4,2,2,3,3,3,3,3,2,3,2,Psychologist
2,3,2,2,2,4,2,4,3,2,3,3,3,3,3,2,4,1,Psychologist
2,3,4,2,1,3,0,4,2,2,3,2,3,4,3,2,1,2,Psychologist
2,3,2,2,3,3,2,2,2,0,3,3,3,3,3,2,3,2,Psychologist
2,3,2,2,3,2,0,4,2,2,3,3,3,3,1,2,3,0,Psychologist
2,3,2,2,3,3,2,0,2,2,4,3,3,3,4,2,3,2,Psychologist
2,3,2,2,3,3,2,4,2,2,3,3,3,3,3,4,2,2,Psychologist
2,3,2,3,3,3,4,4,0,0,3,3,3,3,3,4,0,2,Psychologist
2,3,0,0,3,1,3,4,2,2,3,3,1,3,3,2,3,2,Psychologist
2,3,1,2,4,3,4,4,2,2,3,3,3,3,3,4,3,2,Psychologist
2,2,2,2,3,3,0,4,2,2,3,4,3,3,3,2,3,2,Psychologist
0,3,2,2,3,3,2,4,2,2,3,3,3,3,3,2,3,2,Psychologist
2,3,2,0,3,3,2,4,2,2,3,3,3,3,3,2,3,2,Psychologist
2,2,2,2,3,3,2,4,2,2,3,3,3,3,3,2,3,2,Psychologist
2,3,4,2,3,3,2,4,4,0,3,3,3,3,3,2,3,2,Psychologist
2,3,0,2,3,2,2,4,2,1,1,3,3,3,4,4,3,2,Psychologist
1,3,2,2,3,2,2,4,2,2,4,3,3,1,3,2,3,4,Psychologist
2,3,1,2,3,3,2,1,0,0,3,3,3,3,3,1,3,2,Psychologist
