Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Career
3,4,2,4,2,4,3,2,4,1,3,3,2,3,2,3,3,3,Software Engineer
3,4,2,4,2,4,3,2,3,1,3,3,2,4,2,3,3,3,Software Engineer
4,4,1,3,2,3,2,2,4,2,2,3,2,3,2,4,4,2,Software Engineer
4,3,1,4,2,3,3,2,3,1,3,3,2,4,2,3,3,3,Software Engineer
3,4,1,3,2,4,2,2,3,1,2,4,2,3,2,4,4,3,Software Engineer
4,3,1,4,2,4,2,2,3,2,2,4,2,3,2,3,4,2,Software Engineer
3,3,1,4,2,4,2,2,4,2,2,3,2,4,2,3,4,3,Software Engineer
4,3,2,4,2,4,3,2,3,2,3,3,2,3,2,3,3,2,Software Engineer
4,4,2,4,1,4,2,2,3,2,2,4,2,4,2,3,3,2,Software Engineer
3,4,1,4,1,4,2,2,4,1,3,4,2,3,2,3,3,3,Software Engineer
3,4,1,4,2,3,3,2,4,1,2,3,2,4,2,3,3,3,Software Engineer
4,3,2,3,2,4,3,2,3,1,2,3,2,3,2,4,3,3,Software Engineer
4,4,1,4,1,3,3,2,3,2,3,3,2,3,2,4,3,3,Software Engineer
4,3,2,3,2,4,3,2,3,1,2,3,2,4,2,3,3,3,Software Engineer
4,3,2,4,1,3,3,2,3,1,3,4,2,4,2,3,4,3,Software Engineer
3,3,2,4,2,3,3,2,4,1,3,3,2,3,2,3,4,2,Software Engineer
3,4,2,3,2,3,3,2,3,1,3,3,2,4,2,4,4,3,Software Engineer
3,3,1,4,2,3,3,2,3,1,2,3,2,4,2,4,3,2,Software Engineer
4,3,2,4,2,4,2,2,3,2,3,3,2,3,2,4,3,2,Software Engineer
4,4,2,3,2,3,3,2,3,1,3,4,2,3,2,4,3,2,Software Engineer
3,3,2,3,1,3,2,2,4,1,3,4,2,4,2,4,4,3,Software Engineer
4,3,1,4,1,3,2,2,3,2,2,3,2,3,2,4,4,3,Software Engineer
3,4,1,3,2,3,2,2,4,1,2,4,2,4,2,4,3,2,Software Engineer
3,3,2,3,1,4,3,2,4,1,3,4,2,3,2,4,3,2,Software Engineer
3,4,1,3,2,3,2,2,3,1,2,4,2,3,2,4,4,3,Software Engineer
4,4,1,3,1,4,3,2,3,2,2,4,2,3,2,4,4,3,Software Engineer
4,4,2,4,1,3,2,2,3,1,2,4,2,3,2,4,3,2,Software Engineer
3,4,2,4,2,3,2,2,3,2,2,4,2,4,2,4,4,3,Software Engineer
4,3,1,4,2,3,2,2,4,1,3,3,2,3,2,4,3,2,Software Engineer
4,4,1,4,2,3,2,2,4,1,3,4,2,4,2,3,3,2,Software Engineer
3,3,1,3,1,3,2,2,3,2,2,3,2,3,2,4,4,3,Software Engineer
4,3,2,4,1,3,3,2,3,2,2,4,2,3,2,4,3,3,Software Engineer
4,4,1,4,2,4,2,2,4,1,3,4,2,4,2,3,4,3,Software Engineer
4,4,1,3,2,4,3,2,3,1,3,3,2,4,2,3,3,3,Software Engineer
4,3,1,4,1,3,2,2,3,1,2,3,2,3,2,4,3,2,Software Engineer
4,4,2,3,1,4,3,2,4,1,3,3,2,4,2,4,3,3,Software Engineer
4,3,1,3,2,3,2,2,4,2,3,3,2,4,2,4,3,2,Software Engineer
3,4,1,3,2,3,3,2,3,2,2,4,2,4,2,3,4,3,Software Engineer
4,4,2,4,1,4,2,2,4,2,3,3,2,3,2,3,4,3,Software Engineer
3,3,2,4,2,3,3,2,4,2,2,3,2,3,2,4,3,2,Software Engineer
3,4,1,4,2,4,2,2,3,1,2,4,2,3,2,4,4,2,Software Engineer
3,4,2,3,1,4,3,2,4,2,3,3,2,4,2,3,4,3,Software Engineer
4,3,2,4,1,4,2,2,4,1,2,3,2,4,2,4,4,2,Software Engineer
4,4,2,3,2,4,3,2,4,1,3,4,2,4,2,4,3,3,Software Engineer
3,4,2,3,2,3,2,2,3,1,2,3,2,4,2,3,3,3,Software Engineer
4,4,2,3,1,4,3,2,3,2,3,3,2,4,2,3,3,3,Software Engineer
4,3,2,4,1,3,2,2,3,2,3,3,2,3,2,4,3,2,Software Engineer
4,4,2,4,1,3,2,2,4,1,2,3,2,4,2,3,3,2,Software Engineer
4,3,1,4,2,3,2,2,3,2,2,3,2,3,2,4,3,3,Software Engineer
3,4,2,4,2,3,3,2,4,2,2,3,2,3,2,4,3,2,Software Engineer
4,3,1,4,2,4,2,2,3,1,3,3,2,3,2,3,3,2,Software Engineer
4,3,2,3,2,4,3,2,4,1,3,4,2,4,2,3,3,3,Software Engineer
3,3,2,3,1,4,3,2,4,2,2,4,2,4,2,4,4,3,Software Engineer
3,4,1,3,2,3,3,2,3,2,2,3,2,4,2,3,4,3,Software Engineer
3,4,1,3,1,4,2,2,4,2,3,4,2,3,2,4,4,3,Software Engineer
3,3,2,3,2,3,2,2,4,2,3,3,2,3,2,4,4,3,Software Engineer
3,3,2,3,1,3,3,2,3,1,3,4,2,4,2,4,4,3,Software Engineer
3,3,1,4,1,4,3,2,3,1,3,3,2,4,2,4,3,2,Software Engineer
4,4,2,4,1,4,3,2,4,2,2,3,2,3,2,4,4,3,Software Engineer
3,3,1,4,2,3,2,2,3,2,3,4,2,4,2,3,3,2,Software Engineer
3,3,1,3,2,3,2,2,3,2,3,3,2,3,2,4,4,2,Software Engineer
4,3,2,3,2,3,2,2,3,1,2,3,2,3,2,3,4,2,Software Engineer
4,4,1,4,1,3,2,2,3,2,3,3,2,4,2,4,3,2,Software Engineer
3,3,2,4,1,3,2,2,3,1,3,3,2,4,2,3,4,3,Software Engineer
4,3,2,3,1,3,2,2,3,1,3,4,2,4,2,4,3,2,Software Engineer
3,4,2,4,2,4,2,2,4,2,3,3,2,4,2,3,3,2,Software Engineer
3,3,1,3,2,4,3,2,4,2,2,4,2,3,2,4,4,2,Software Engineer
3,4,1,4,1,4,3,2,3,2,3,3,2,3,2,3,3,2,Software Engineer
3,3,2,4,2,4,2,2,3,1,2,4,2,4,2,4,4,3,Software Engineer
3,3,1,3,1,4,2,2,4,1,2,4,2,3,2,3,4,2,Software Engineer
4,3,2,3,1,3,3,2,4,2,3,4,2,3,2,4,3,3,Software Engineer
4,3,2,3,2,4,2,2,4,1,3,3,2,3,2,4,3,2,Software Engineer
3,3,2,4,2,4,3,2,4,1,2,3,2,3,2,3,3,3,Software Engineer
4,4,2,3,1,4,2,2,3,2,3,4,2,4,2,4,3,3,Software Engineer
4,3,2,3,1,4,2,2,4,1,2,3,2,4,2,3,3,3,Software Engineer
4,4,2,4,1,4,2,2,4,1,3,3,2,3,2,4,4,2,Software Engineer
3,3,2,4,2,3,3,2,4,2,3,3,2,3,2,3,3,2,Software Engineer
4,3,2,3,2,3,3,2,3,2,2,3,2,4,2,3,4,3,Software Engineer
3,3,1,4,1,3,2,2,3,2,3,4,2,3,2,3,4,2,Software Engineer
4,4,1,3,2,3,2,2,4,2,2,4,2,4,2,4,4,2,Software Engineer
4,3,2,3,1,3,2,2,4,2,2,3,2,3,2,4,3,2,Software Engineer
4,4,1,4,2,3,2,2,3,2,2,3,2,4,2,3,4,2,Software Engineer
3,3,2,4,1,4,3,2,3,2,3,3,2,4,2,4,4,3,Software Engineer
3,4,2,3,1,4,3,2,3,1,3,4,2,4,2,4,3,2,Software Engineer
4,3,1,3,1,3,2,2,3,2,2,4,2,4,2,3,3,2,Software Engineer
3,3,1,3,1,3,3,2,4,1,2,3,2,3,2,4,4,3,Software Engineer
3,3,2,3,1,3,3,2,3,2,2,3,2,4,2,4,4,2,Software Engineer
3,3,1,3,2,4,3,2,3,2,2,3,2,3,2,3,3,3,Software Engineer
4,3,2,3,2,3,2,2,4,1,3,3,2,4,2,4,4,3,Software Engineer
4,3,2,3,1,4,2,2,4,1,3,4,2,4,2,3,4,3,Software Engineer
